set_name,card_name,ungraded_price
Prices for Pokemon Paldean Fates Pokemon Cards,Ceruledge #40,$0.48
Prices for Pokemon Paldean Fates Pokemon Cards,Luxray #137,$7.99
Prices for Pokemon Paldean Fates Pokemon Cards,Paldean Wooper #180,$7.92
Prices for Pokemon Paldean Fates Pokemon Cards,Gengar [Reverse Holo] #57,$1.99
Prices for Pokemon Paldean Fates Pokemon Cards,Shinx #135,$8.05
Prices for Pokemon Paldean Fates Pokemon Cards,Scizor #191,$7.41
Prices for Pokemon Paldean Fates Pokemon Cards,Pidgey #196,$6.99
Prices for Pokemon Paldean Fates Pokemon Cards,Hawlucha #175,$8.60
Prices for Pokemon Paldean Fates Pokemon Cards,Kirlia #154,$8.73
Prices for Pokemon Paldean Fates Pokemon Cards,Tech Sticker Collection Display,$462.49
Prices for Pokemon Paldean Fates Pokemon Cards,Tinkatink #165,$4.89
Prices for Pokemon Paldean Fates Pokemon Cards,Pidgeotto #197,$5.97
Prices for Pokemon Paldean Fates Pokemon Cards,Kadabra #149,$6.54
Prices for Pokemon Paldean Fates Pokemon Cards,Oddish #92,$6.79
Prices for Pokemon Paldean Fates Pokemon Cards,Starmie #119,$5.13
Prices for Pokemon Paldean Fates Pokemon Cards,Spiritomb #158,$4.47
Prices for Pokemon Paldean Fates Pokemon Cards,Vileplume #94,$5.45
Prices for Pokemon Paldean Fates Pokemon Cards,Charcadet #114,$5.83
Prices for Pokemon Paldean Fates Pokemon Cards,Lechonk #207,$7.25
Prices for Pokemon Paldean Fates Pokemon Cards,Tinkaton #167,$5.90
Prices for Pokemon Paldean Fates Pokemon Cards,Sableye #184,$5.00
Prices for Pokemon Paldean Fates Pokemon Cards,Pachirisu #138,$5.20
Prices for Pokemon Paldean Fates Pokemon Cards,Primeape #170,$3.29
Prices for Pokemon Paldean Fates Pokemon Cards,Staryu #118,$4.50
Prices for Pokemon Paldean Fates Pokemon Cards,Armarouge #115,$4.27
Prices for Pokemon Paldean Fates Pokemon Cards,Voltorb #133,$2.90
Prices for Pokemon Paldean Fates Pokemon Cards,Charmander [Reverse Holo] #7,$0.75
Prices for Pokemon Paldean Fates Pokemon Cards,Mankey #169,$3.72
